HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Fortuna Dusseldorf,Erzgebirge Aue,18,5,7,2,6,0,11,11,3,1,0,0,1,0,H
St Pauli,Hannover,11,17,3,9,7,13,11,9,1,2,0,0,0,1,A
Hannover,Holstein Kiel,25,20,10,5,4,8,8,11,2,2,0,0,0,0,H
Paderborn,Erzgebirge Aue,11,25,9,7,7,11,14,14,3,1,0,0,1,0,D
Hansa Rostock,Nurnberg,17,12,4,7,9,3,12,11,2,0,0,0,0,1,A
Ingolstadt,St Pauli,10,12,3,5,4,2,14,12,3,2,0,0,1,2,A
Karlsruhe,Schalke 04,18,16,4,2,5,4,11,12,2,1,0,0,1,1,D
Dresden,Darmstadt,13,23,3,9,7,5,7,10,3,1,0,0,0,0,A
Hamburg,Werder Bremen,13,15,8,6,2,4,9,11,2,1,0,0,0,1,A
Heidenheim,Sandhausen,18,9,1,6,11,4,6,12,0,2,0,0,1,1,D
Regensburg,Fortuna Dusseldorf,9,10,3,4,0,6,13,15,1,1,0,0,0,0,D
Darmstadt,Heidenheim,23,12,9,5,7,1,14,13,3,1,0,0,0,1,H
Holstein Kiel,Paderborn,16,12,6,6,4,4,9,12,2,2,0,0,1,1,A
Sandhausen,Hannover,18,7,8,2,10,6,14,10,3,1,0,0,2,1,H
Schalke 04,Hansa Rostock,26,9,10,4,4,2,9,7,0,1,0,0,2,2,A
St Pauli,Karlsruhe,15,11,5,2,6,5,12,11,4,2,0,0,3,0,H
Nurnberg,Hamburg,10,14,4,4,4,9,10,17,3,5,0,0,1,1,H
Erzgebirge Aue,Regensburg,17,13,7,3,4,8,12,10,2,1,0,0,1,0,H
Fortuna Dusseldorf,Ingolstadt,23,12,5,4,8,5,9,14,3,4,0,1,2,0,H
Werder Bremen,Dresden,16,15,6,7,10,9,10,11,1,2,0,0,2,1,H
Darmstadt,Sandhausen,18,9,7,4,4,1,13,16,3,3,0,0,1,0,D
Hansa Rostock,Holstein Kiel,13,10,6,2,6,3,9,11,2,2,0,0,1,0,H
Dresden,St Pauli,13,22,5,6,4,8,10,7,0,0,0,0,1,1,D
Paderborn,Fortuna Dusseldorf,18,15,8,5,7,5,14,9,4,4,0,0,0,1,D
Heidenheim,Werder Bremen,11,19,4,8,6,6,13,8,3,2,1,0,1,0,H
Hannover,Nurnberg,13,19,4,5,2,5,5,10,0,1,0,0,0,1,A
Ingolstadt,Schalke 04,9,17,3,4,7,3,18,10,3,2,0,0,0,0,A
Karlsruhe,Regensburg,16,15,4,6,7,3,14,13,2,2,0,0,0,1,D
Erzgebirge Aue,Karlsruhe,15,9,4,3,6,3,9,6,1,4,0,0,0,0,A
St Pauli,Heidenheim,20,9,7,2,7,0,12,10,3,3,0,0,0,0,H
Fortuna Dusseldorf,Hamburg,17,13,4,3,6,4,10,8,2,1,0,0,0,0,D
Sandhausen,Hansa Rostock,16,8,2,3,14,5,10,11,4,1,0,0,0,0,A
Schalke 04,Hannover,18,8,9,4,12,2,17,7,1,2,0,0,1,0,H
Werder Bremen,Darmstadt,26,12,10,3,6,1,12,13,2,1,0,1,0,0,H
Holstein Kiel,Ingolstadt,21,17,4,4,5,4,12,18,1,5,0,0,1,0,H
Nurnberg,Dresden,19,11,6,1,11,2,11,16,2,1,0,0,1,1,D
Regensburg,Paderborn,10,11,3,2,3,5,11,9,2,1,0,0,0,0,H
Dresden,Schalke 04,9,9,1,5,3,1,13,10,2,4,0,0,0,1,A
Ingolstadt,Erzgebirge Aue,10,5,5,2,8,2,15,18,1,2,0,1,2,0,H
Darmstadt,Holstein Kiel,21,8,5,2,7,3,10,8,3,2,0,0,2,0,H
Hamburg,Paderborn,13,4,6,2,5,0,7,11,0,1,0,0,0,1,A
Hannover,Regensburg,18,11,5,5,5,6,12,12,2,2,0,1,1,1,D
Hansa Rostock,St Pauli,22,11,6,2,2,6,11,12,2,0,0,0,0,0,H
Heidenheim,Nurnberg,18,11,5,5,5,9,10,6,0,1,0,0,2,0,H
Karlsruhe,Fortuna Dusseldorf,11,11,4,6,2,3,8,17,1,1,0,0,0,2,D
Werder Bremen,Sandhausen,21,3,8,1,5,1,7,17,1,2,0,0,0,0,D
Hamburg,Erzgebirge Aue,20,7,8,6,9,2,11,9,0,1,0,0,2,0,H
Fortuna Dusseldorf,Hansa Rostock,13,6,5,2,4,7,12,11,1,4,0,0,1,0,H
Regensburg,Ingolstadt,17,5,6,2,4,5,10,17,2,3,0,0,0,1,D
Erzgebirge Aue,Hannover,13,12,4,6,7,4,11,17,3,1,0,0,0,2,A
Schalke 04,Heidenheim,21,19,11,7,6,6,6,7,2,1,0,0,1,0,H
St Pauli,Werder Bremen,11,15,4,2,5,4,7,8,1,0,0,0,1,0,D
Nurnberg,Darmstadt,14,18,4,5,4,4,10,15,3,0,0,0,1,0,H
Holstein Kiel,Hamburg,4,16,1,6,1,5,7,10,2,3,0,0,1,0,H
Paderborn,Karlsruhe,13,14,3,6,2,5,6,12,2,3,1,0,1,1,D
Sandhausen,Dresden,10,10,6,3,5,7,15,8,6,3,0,0,1,0,H
Dresden,Holstein Kiel,14,11,3,5,4,3,15,16,2,2,0,0,0,0,D
Hannover,Fortuna Dusseldorf,11,12,2,1,5,8,15,11,0,1,1,0,0,0,D
Sandhausen,St Pauli,7,6,2,3,9,4,16,6,1,0,0,0,0,1,D
Hamburg,Karlsruhe,24,3,6,1,6,2,13,7,0,3,0,1,2,0,H
Darmstadt,Schalke 04,21,14,7,8,7,4,15,13,3,2,0,0,2,3,A
Hansa Rostock,Regensburg,10,10,2,3,4,5,16,13,2,2,1,0,1,0,D
Heidenheim,Erzgebirge Aue,8,10,2,3,6,7,14,10,0,1,0,0,0,0,A
Ingolstadt,Paderborn,8,15,3,5,2,5,12,10,4,1,0,0,0,0,A
Werder Bremen,Nurnberg,16,7,6,5,8,2,12,9,2,1,0,0,0,1,D
Fortuna Dusseldorf,Dresden,20,9,7,3,3,5,12,18,1,4,0,0,2,0,D
Karlsruhe,Ingolstadt,24,11,10,5,9,2,13,14,2,5,0,0,0,1,D
Holstein Kiel,Heidenheim,9,13,6,4,8,10,6,7,1,3,0,0,0,0,D
Regensburg,Hamburg,19,17,11,8,4,4,21,16,6,2,0,0,0,1,A
Schalke 04,Werder Bremen,18,15,3,7,5,2,11,13,2,3,0,0,0,2,A
St Pauli,Darmstadt,22,9,8,4,5,2,9,12,3,4,0,0,0,2,A
Erzgebirge Aue,Hansa Rostock,9,12,4,4,2,4,17,9,3,2,0,0,2,1,D
Nurnberg,Sandhausen,19,9,8,5,12,6,10,14,0,3,0,0,1,1,A
Paderborn,Hannover,15,17,5,4,4,10,11,6,1,1,0,0,2,0,H
Hannover,Karlsruhe,12,11,3,2,1,3,14,9,2,1,0,0,1,0,H
Heidenheim,Fortuna Dusseldorf,14,13,3,8,9,2,12,11,1,1,0,0,0,2,A
Sandhausen,Schalke 04,9,18,3,10,2,6,18,8,1,2,1,0,0,0,A
St Pauli,Nurnberg,15,10,2,2,7,1,18,12,2,0,0,0,0,0,D
Werder Bremen,Holstein Kiel,20,10,7,5,5,2,11,13,2,4,0,0,2,1,A
Dresden,Regensburg,11,10,3,3,5,1,16,14,0,0,0,0,0,0,D
Hansa Rostock,Paderborn,13,13,3,6,4,7,13,10,2,1,0,0,0,0,D
Ingolstadt,Hamburg,7,19,3,7,0,9,10,10,1,2,0,0,0,2,A
Darmstadt,Erzgebirge Aue,19,3,9,0,12,2,6,8,0,0,0,0,4,0,H
Fortuna Dusseldorf,Darmstadt,8,19,5,7,1,8,11,13,1,5,1,1,2,0,H
Paderborn,Sandhausen,16,12,9,5,7,8,4,16,2,5,0,0,1,0,H
Hamburg,Hannover,21,9,6,3,3,8,15,12,1,3,0,0,2,1,H
Ingolstadt,Hansa Rostock,9,11,4,4,4,4,15,13,1,1,0,0,0,0,D
Regensburg,Heidenheim,20,14,9,4,2,9,6,12,3,2,0,0,0,0,A
Schalke 04,St Pauli,22,5,10,3,4,3,13,16,3,5,0,2,0,2,H
Erzgebirge Aue,Werder Bremen,10,12,4,5,6,10,9,14,2,2,0,0,0,0,A
Holstein Kiel,Nurnberg,14,12,7,0,9,3,12,10,2,2,0,0,2,0,H
