HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Torino,Cagliari,14,9,8,6,6,6,12,20,2,7,1,2,0,0,D
Atalanta,Empoli,32,2,18,1,9,3,7,11,1,3,0,0,0,0,D
Lazio,Udinese,15,9,7,4,4,5,13,16,2,0,0,0,2,0,H
Bologna,Sampdoria,12,9,6,3,3,4,19,12,2,4,0,0,0,0,H
Cagliari,Frosinone,12,5,6,2,5,6,19,16,3,1,1,0,1,0,H
Empoli,Spal,11,9,6,7,3,6,15,15,3,5,0,0,1,2,A
Genoa,Torino,8,8,4,4,3,2,21,24,4,4,0,0,0,0,A
Inter,Roma,13,9,7,5,7,4,7,13,1,2,0,0,0,1,D
Juventus,Fiorentina,9,9,5,6,10,7,13,8,0,1,0,0,1,1,H
Lazio,Chievo,16,8,8,6,13,2,8,21,0,4,2,0,0,0,A
Parma,Milan,10,8,3,3,8,4,14,13,0,1,0,0,0,0,D
Udinese,Sassuolo,10,6,5,2,6,5,17,14,3,2,0,0,0,1,D
Napoli,Atalanta,13,11,9,7,3,3,15,10,3,1,0,0,1,0,A
Bologna,Empoli,17,4,7,3,13,5,13,15,3,2,0,0,0,1,H
Inter,Juventus,10,10,6,4,10,4,12,12,1,3,0,0,1,0,D
Roma,Cagliari,15,4,11,1,5,5,6,7,1,2,0,0,2,0,H
Chievo,Parma,6,6,2,2,2,4,15,17,3,3,0,0,0,1,D
Frosinone,Napoli,13,19,4,13,2,6,25,16,3,1,0,0,0,1,A
Sampdoria,Lazio,7,10,5,5,1,4,13,11,6,3,1,0,0,2,A
Spal,Genoa,11,11,5,5,2,4,14,15,3,3,0,0,1,0,D
